	path	genre	Action	Adventure	Comedy	Crime	Drama	Horror	Romance	Thriller
0	frames\Crime_Drama\Mfcqb8DD400\3036.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
1	frames\Comedy\kTk2jXiuo9s\276.jpg	['Comedy']	0	0	1	0	0	0	0	0
2	frames\Action_Drama\bNFWITNVAKU\1426.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
3	frames\Drama_Romance\j-v6XtJFNQE\1886.jpg	['Drama', 'Romance']	0	0	0	0	1	0	1	0
4	frames\Action_Adventure\gAKiWvjfCiQ\1196.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
5	frames\Action_Drama\LkWeBzzBUXY\736.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
6	frames\Comedy\55X_DAk6K_k\276.jpg	['Comedy']	0	0	1	0	0	0	0	0
7	frames\Adventure_Comedy\4otU-hfAOO0\46.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
8	frames\Adventure\DHzx2P4x63c\736.jpg	['Adventure']	0	1	0	0	0	0	0	0
9	frames\Adventure_Comedy\f-DgdMpSo7c\1196.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
10	frames\Drama\e1bMBM_rgwQ\736.jpg	['Drama']	0	0	0	0	1	0	0	0
11	frames\Comedy_Romance\bxgZWv4Db5I\3036.jpg	['Comedy', 'Romance']	0	0	1	0	0	0	1	0
12	frames\Action_Adventure\1-9573qxk5g\1656.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
13	frames\Action_Adventure\22Xiae6LXdU\736.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
14	frames\Action_Adventure\68SlAT125f8\2346.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
15	frames\Action\L9pxOwibtWQ\506.jpg	['Action']	1	0	0	0	0	0	0	0
16	frames\Adventure_Comedy\C6hmQwfEmzc\1886.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
17	frames\Action_Drama\EEaUjfxQQFI\1426.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
18	frames\Drama\xfoGEGTl-sg\1196.jpg	['Drama']	0	0	0	0	1	0	0	0
19	frames\Comedy_Crime\SCXs7OphbUU\1656.jpg	['Comedy', 'Crime']	0	0	1	1	0	0	0	0
20	frames\Comedy\KQDbtR9Z-zo\966.jpg	['Comedy']	0	0	1	0	0	0	0	0
21	frames\Adventure_Drama\s_7PfocHTmc\3036.jpg	['Adventure', 'Drama']	0	1	0	0	1	0	0	0
22	frames\Horror\J6Cg05MhWbw\1886.jpg	['Horror']	0	0	0	0	0	1	0	0
23	frames\Horror\osE84bZ1jNc\1426.jpg	['Horror']	0	0	0	0	0	1	0	0
24	frames\Drama\TUlYMYQD3ZE\1656.jpg	['Drama']	0	0	0	0	1	0	0	0
25	frames\Horror\O2RUT5J7T4E\2576.jpg	['Horror']	0	0	0	0	0	1	0	0
26	frames\Drama\bbVqciFRioA\46.jpg	['Drama']	0	0	0	0	1	0	0	0
27	frames\Crime_Drama\-o2z2G3y50M\1656.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
28	frames\Comedy_Thriller\EECf2o9Ivaw\2576.jpg	['Comedy', 'Thriller']	0	0	1	0	0	0	0	1
29	frames\Comedy\DhUcvFP_Tas\1656.jpg	['Comedy']	0	0	1	0	0	0	0	0
30	frames\Action_Comedy\XQUKOgrir0A\966.jpg	['Action', 'Comedy']	1	0	1	0	0	0	0	0
31	frames\Comedy\NulXXh0cw4c\2346.jpg	['Comedy']	0	0	1	0	0	0	0	0
32	frames\Comedy_Drama\sQ_4m2ocxhI\1426.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
33	frames\Comedy_Drama\TyB1CcaiPbQ\736.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
34	frames\Comedy\8Qi3JERmk9E\1886.jpg	['Comedy']	0	0	1	0	0	0	0	0
35	frames\Action_Drama\fWxKQF17YHk\506.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
36	frames\Crime_Drama\1z2AjhGr9XI\1886.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
37	frames\Action_Adventure\uuTeJ6tbyB4\3036.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
38	frames\Crime_Drama\Q5HNKhhBjcw\1656.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
39	frames\Action_Drama\hLbozjgBIE0\1886.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
40	frames\Comedy\hYq75Gm4UdI\2346.jpg	['Comedy']	0	0	1	0	0	0	0	0
41	frames\Comedy_Horror\IAYQUTYc_tA\2346.jpg	['Comedy', 'Horror']	0	0	1	0	0	1	0	0
42	frames\Comedy\hwpHOq3Xbks\276.jpg	['Comedy']	0	0	1	0	0	0	0	0
43	frames\Adventure\louBM-Mix7s\506.jpg	['Adventure']	0	1	0	0	0	0	0	0
44	frames\Comedy_Drama\pR8Lt5DyU88\2576.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
45	frames\Horror_Thriller\6YbTy5AvRP4\2576.jpg	['Horror', 'Thriller']	0	0	0	0	0	1	0	1
46	frames\Adventure\9hoSF_oY8Jw\1426.jpg	['Adventure']	0	1	0	0	0	0	0	0
47	frames\Comedy_Drama\G629a_3MkkI\3036.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
48	frames\Action_Drama\21Dc8a8X8qg\2346.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
49	frames\Action_Drama\DVR6p7Iopec\1196.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
50	frames\Drama\93tR96egox4\1656.jpg	['Drama']	0	0	0	0	1	0	0	0
51	frames\Adventure_Comedy\G4BGtSvviS0\2576.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
52	frames\Drama_Romance\K8JhJPro-1c\1426.jpg	['Drama', 'Romance']	0	0	0	0	1	0	1	0
53	frames\Romance_Thriller\FZ65jfSwpAk\2346.jpg	['Romance', 'Thriller']	0	0	0	0	0	0	1	1
54	frames\Drama\2XuJzaDhV50\506.jpg	['Drama']	0	0	0	0	1	0	0	0
55	frames\Drama_Romance\ApANYuSl7A0\2806.jpg	['Drama', 'Romance']	0	0	0	0	1	0	1	0
56	frames\Action_Adventure\TXRHf6Hzg0g\966.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
57	frames\Action_Adventure\yJ5tQQhl8wc\2806.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
58	frames\Adventure_Drama\6QoON2Vq78k\506.jpg	['Adventure', 'Drama']	0	1	0	0	1	0	0	0
59	frames\Comedy_Drama\KprKHSAAn7U\1196.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
60	frames\Horror\uwV4iMoc7xg\1196.jpg	['Horror']	0	0	0	0	0	1	0	0
61	frames\Action_Drama\Ouht1xip9NQ\2576.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
62	frames\Comedy\dvIzAdqrb4U\1656.jpg	['Comedy']	0	0	1	0	0	0	0	0
63	frames\Horror_Thriller\iSio5xjSYqs\2116.jpg	['Horror', 'Thriller']	0	0	0	0	0	1	0	1
64	frames\Adventure\DRtbf7iG8Nw\1886.jpg	['Adventure']	0	1	0	0	0	0	0	0
65	frames\Action_Thriller\4M1mi7Ommbg\506.jpg	['Action', 'Thriller']	1	0	0	0	0	0	0	1
66	frames\Drama\kQ65F_pf868\1196.jpg	['Drama']	0	0	0	0	1	0	0	0
67	frames\Adventure\BV1Nyf_u1AA\966.jpg	['Adventure']	0	1	0	0	0	0	0	0
68	frames\Action_Comedy\hGOHE1zqEmY\1426.jpg	['Action', 'Comedy']	1	0	1	0	0	0	0	0
69	frames\Comedy\eBxVWEnuSC0\2116.jpg	['Comedy']	0	0	1	0	0	0	0	0
70	frames\Comedy_Crime\mWqZWXSj-s0\276.jpg	['Comedy', 'Crime']	0	0	1	1	0	0	0	0
71	frames\Comedy_Drama\t4qrfjEgdt4\1886.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
72	frames\Action_Crime\IoavfE6TCbw\1426.jpg	['Action', 'Crime']	1	0	0	1	0	0	0	0
73	frames\Drama\tlNLhuxeDJQ\966.jpg	['Drama']	0	0	0	0	1	0	0	0
74	frames\Action_Drama\5bWanpZTnSQ\736.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
75	frames\Drama\o9dLO77OSao\966.jpg	['Drama']	0	0	0	0	1	0	0	0
76	frames\Drama\9V2nsuzAzb8\966.jpg	['Drama']	0	0	0	0	1	0	0	0
77	frames\Horror_Thriller\tD3vc9KZ9lQ\2346.jpg	['Horror', 'Thriller']	0	0	0	0	0	1	0	1
78	frames\Action_Crime\1C_7b05Rlvo\1656.jpg	['Action', 'Crime']	1	0	0	1	0	0	0	0
79	frames\Adventure_Comedy\UmwLKU5DIGk\276.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
80	frames\Comedy_Drama\gxeIvClLpKI\966.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
81	frames\Drama_Romance\7lShqpv3i24\3036.jpg	['Drama', 'Romance']	0	0	0	0	1	0	1	0
82	frames\Comedy_Drama\846by3LOKlA\46.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
83	frames\Romance_Thriller\Fz2HMTuqy98\506.jpg	['Romance', 'Thriller']	0	0	0	0	0	0	1	1
84	frames\Romance\tYmvgGjSiN8\1656.jpg	['Romance']	0	0	0	0	0	0	1	0
85	frames\Drama_Thriller\ja4l7-L7n6M\1196.jpg	['Drama', 'Thriller']	0	0	0	0	1	0	0	1
86	frames\Comedy_Romance\XPEWBEa8pqg\506.jpg	['Comedy', 'Romance']	0	0	1	0	0	0	1	0
87	frames\Crime_Drama\Il1NzkQ3rYs\506.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
88	frames\Drama\9DaWcHIGk7I\506.jpg	['Drama']	0	0	0	0	1	0	0	0
89	frames\Action_Adventure\8gc-RSAJpH4\2346.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
90	frames\Crime_Drama\mksJyq7Z-mQ\2576.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
91	frames\Adventure_Comedy\T1IyMJOC0JM\3036.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
92	frames\Action_Adventure\HCLQRZmD1EE\1656.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
93	frames\Comedy_Horror\epBGWHCrfr4\1886.jpg	['Comedy', 'Horror']	0	0	1	0	0	1	0	0
94	frames\Adventure_Drama\_c7cV5_jU5Q\2116.jpg	['Adventure', 'Drama']	0	1	0	0	1	0	0	0
95	frames\Horror_Thriller\4SD245xSSVk\2116.jpg	['Horror', 'Thriller']	0	0	0	0	0	1	0	1
96	frames\Drama_Romance\Agic36OeXC0\1426.jpg	['Drama', 'Romance']	0	0	0	0	1	0	1	0
97	frames\Horror_Thriller\A63kIf5CfgE\276.jpg	['Horror', 'Thriller']	0	0	0	0	0	1	0	1
98	frames\Drama\qZRbStnLn3c\1196.jpg	['Drama']	0	0	0	0	1	0	0	0
99	frames\Action_Thriller\fU-ICxohwSc\276.jpg	['Action', 'Thriller']	1	0	0	0	0	0	0	1
100	frames\Horror\upwUN92OAQU\736.jpg	['Horror']	0	0	0	0	0	1	0	0
101	frames\Comedy\gijYgnVD9vo\1196.jpg	['Comedy']	0	0	1	0	0	0	0	0
102	frames\Drama_Horror\eCdRFMp8Xwo\506.jpg	['Drama', 'Horror']	0	0	0	0	1	1	0	0
103	frames\Comedy_Drama\fgJ2CaTfaxU\276.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
104	frames\Action\9PllxjcicFo\1886.jpg	['Action']	1	0	0	0	0	0	0	0
105	frames\Action_Adventure\qgRXFJqB-9Q\506.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
106	frames\Drama_Romance\gJCMd15eaW8\1196.jpg	['Drama', 'Romance']	0	0	0	0	1	0	1	0
107	frames\Action\nB95pK8TgYw\1196.jpg	['Action']	1	0	0	0	0	0	0	0
108	frames\Comedy_Drama\Oc2xTMnIwrI\2116.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
109	frames\Comedy_Drama\846by3LOKlA\3036.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
110	frames\Action\q_y1Qe8dyCw\1196.jpg	['Action']	1	0	0	0	0	0	0	0
111	frames\Drama\5Ay5GqJwHF8\2346.jpg	['Drama']	0	0	0	0	1	0	0	0
112	frames\Comedy_Drama\DcaV2VQgea0\1656.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
113	frames\Comedy_Drama\_SwvSu3jxAA\2116.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
114	frames\Action_Adventure\nyMtN_aHC_8\2576.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
115	frames\Comedy_Crime\wwwhtUdGOVM\1426.jpg	['Comedy', 'Crime']	0	0	1	1	0	0	0	0
116	frames\Adventure_Drama\6m5KyzSNu3s\506.jpg	['Adventure', 'Drama']	0	1	0	0	1	0	0	0
117	frames\Action_Comedy\KA2ziAAXoqE\1656.jpg	['Action', 'Comedy']	1	0	1	0	0	0	0	0
118	frames\Crime_Thriller\OIl2sEhU24I\1656.jpg	['Crime', 'Thriller']	0	0	0	1	0	0	0	1
119	frames\Comedy\Eyh5RlXHBLU\2116.jpg	['Comedy']	0	0	1	0	0	0	0	0
120	frames\Drama_Horror\zcZJF81jt4w\1196.jpg	['Drama', 'Horror']	0	0	0	0	1	1	0	0
121	frames\Drama\P20hrE8pmoI\1426.jpg	['Drama']	0	0	0	0	1	0	0	0
122	frames\Romance\_ZfmXzIbHI8\46.jpg	['Romance']	0	0	0	0	0	0	1	0
123	frames\Horror\H5woQdVbaC0\736.jpg	['Horror']	0	0	0	0	0	1	0	0
124	frames\Crime\0J_lTFS0ouM\1196.jpg	['Crime']	0	0	0	1	0	0	0	0
125	frames\Comedy_Drama\kzueHOeJk40\2576.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
126	frames\Adventure_Comedy\bNbi_KLd_Uk\1426.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
127	frames\Action\Ws7Uj5D6354\276.jpg	['Action']	1	0	0	0	0	0	0	0
128	frames\Drama\jRSw_0zpNE8\1196.jpg	['Drama']	0	0	0	0	1	0	0	0
129	frames\Action_Drama\ijrCSknWjeI\506.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
130	frames\Drama_Thriller\GSw9sjqYK_I\3266.jpg	['Drama', 'Thriller']	0	0	0	0	1	0	0	1
131	frames\Comedy_Drama\TBS2UeiR7Mc\1196.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
132	frames\Comedy_Drama\AqNEZ_QgvI4\46.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
133	frames\Comedy_Romance\F8UwjJzF4LY\1886.jpg	['Comedy', 'Romance']	0	0	1	0	0	0	1	0
134	frames\Action_Adventure\jr7HNZg0ljU\2346.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
135	frames\Adventure_Comedy\_ZwkQIBp4TA\46.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
136	frames\Action_Adventure\DSCWB4GqcFE\2346.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
137	frames\Action_Drama\njFOIvoN9pc\1656.jpg	['Action', 'Drama']	1	0	0	0	1	0	0	0
138	frames\Adventure_Drama\rEAbZTpV47E\1426.jpg	['Adventure', 'Drama']	0	1	0	0	1	0	0	0
139	frames\Adventure_Comedy\7FkWC2S0MfY\2346.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
140	frames\Action_Horror\kyGcsRDBJLM\736.jpg	['Action', 'Horror']	1	0	0	0	0	1	0	0
141	frames\Comedy_Drama\NaKBQWLRJqw\1426.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
142	frames\Action_Adventure\Jwaw24W2bW0\1656.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
143	frames\Comedy_Drama\3ERuhks3GNk\2576.jpg	['Comedy', 'Drama']	0	0	1	0	1	0	0	0
144	frames\Crime_Drama\-ASYRiRflDM\46.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
145	frames\Adventure_Comedy\ajb31pJMQmw\46.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
146	frames\Drama_Horror\_41AKvC_uGk\1656.jpg	['Drama', 'Horror']	0	0	0	0	1	1	0	0
147	frames\Adventure\8TM2yB381fc\506.jpg	['Adventure']	0	1	0	0	0	0	0	0
148	frames\Action_Adventure\vYH5urNq1Ao\46.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
149	frames\Action_Crime\I2JSXKFWqGI\2116.jpg	['Action', 'Crime']	1	0	0	1	0	0	0	0
150	frames\Horror_Thriller\Rt3u4bU6EMU\1196.jpg	['Horror', 'Thriller']	0	0	0	0	0	1	0	1
151	frames\Crime\b2gz0vSh0J4\506.jpg	['Crime']	0	0	0	1	0	0	0	0
152	frames\Adventure_Comedy\lsmWjQdGHMI\1886.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
153	frames\Comedy\dJU1SZIfK3Y\1196.jpg	['Comedy']	0	0	1	0	0	0	0	0
154	frames\Action_Thriller\tyyPSnHcthg\966.jpg	['Action', 'Thriller']	1	0	0	0	0	0	0	1
155	frames\Crime_Drama\1z2AjhGr9XI\46.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
