	imdbid	title	clip_name	year	videoid	genre
0	tt0448115	Shazam!	New Superpowers Scene	2019.0	Ok63vpXNhNc	['Action', 'Adventure', 'Comedy']
1	tt0448115	Shazam!	Shazam vs. Dr. Sivana Scene	2019.0	jbvQvJV_97M	['Action', 'Adventure', 'Comedy']
2	tt0448115	Shazam!	Convenience Store Robbery Scene	2019.0	UAYL8R2ZPuI	['Action', 'Adventure', 'Comedy']
3	tt0448115	Shazam!	Dr. Sivana Attacks Scene	2019.0	g8pt9OoaPlY	['Action', 'Adventure', 'Comedy']
4	tt0448115	Shazam!	The Shazam Fam Scene	2019.0	AONuDilRd5k	['Action', 'Adventure', 'Comedy']
5	tt0448115	Shazam!	Fighting The Seven Deadly Sins Scene	2019.0	_nSQhWq7etg	['Action', 'Adventure', 'Comedy']
6	tt0448115	Shazam!	Playtime's Over Scene	2019.0	-W8pOz1fsD0	['Action', 'Adventure', 'Comedy']
7	tt0448115	Shazam!	Carnival of Sins Scene	2019.0	ChIQpmBLPAo	['Action', 'Adventure', 'Comedy']
8	tt0448115	Shazam!	Mister Mind Scene	2019.0	GC6ksHacdXI	['Action', 'Adventure', 'Comedy']
9	tt0109288	Blankman	Welcome to McDonald's Scene	1994.0	lsa5PDPgJmI	['Comedy', 'Action', 'Crime']
10	tt0109288	Blankman	The Pregnant Lady Scene	1994.0	MGBHNeYbsbg	['Comedy', 'Action', 'Crime']
11	tt0109288	Blankman	The City's New Heroes Scene	1994.0	-mXoZz1dqMQ	['Comedy', 'Action', 'Crime']
12	tt0109288	Blankman	Protecting the Neighborhood Scene	1994.0	Jgye_cEhfGQ	['Comedy', 'Action', 'Crime']
13	tt0109288	Blankman	Blowing It Scene	1994.0	-jpEsYBH3g4	['Comedy', 'Action', 'Crime']
14	tt0109288	Blankman	The Bank Heist Scene	1994.0	ljAdSzBv0ug	['Comedy', 'Action', 'Crime']
15	tt0109288	Blankman	Let the Lady Go Scene	1994.0	RFR3AJ-jE88	['Comedy', 'Action', 'Crime']
16	tt0109288	Blankman	Is This the End? Scene	1994.0	RLbry-3z8yQ	['Comedy', 'Action', 'Crime']
17	tt0109288	Blankman	The Jig is Up Scene	1994.0	sM1I11qUM44	['Comedy', 'Action', 'Crime']
18	tt0109288	Blankman	The Blank Wheel Scene	1994.0	RxwUv1BcPwg	['Comedy', 'Action', 'Crime']
