	Unnamed: 0	imdbid	title	clip_name	year	videoid	genre
0	19108	tt0264472	Changing Lanes	I Want My Time Back	2002.0	KtekLRYl3q8	['Drama', 'Thriller']
1	4212	tt0114576	Sudden Death	The Penguin Mascot Fight Scene	1995.0	qFprLPWDd-Y	['Action', 'Crime', 'Thriller']
2	20062	tt0080339	Airplane!	Don't Call Me Shirley	1980.0	ixljWVyPby0	['Comedy']
3	25590	tt0095631	Midnight Run	Catching a Freight Train	1988.0	Ppj45Ai524s	['Action', 'Comedy', 'Crime']
4	4152	tt0263488	Jeepers Creepers	Running Over the Creeper Scene	2001.0	BXXY48jjLtw	['Horror', 'Mystery']
5	10483	tt0094812	Bull Durham	On the Mound Convention Scene	1988.0	diX4myfR6vU	['Comedy', 'Romance', 'Sport']
6	11884	tt0103776	Batman Returns	What Did Curiosity Do to the Cat? Scene	1992.0	UqStvc107-M	['Action', 'Crime', 'Fantasy']
7	25341	tt0118632	The Apostle	The Keys to the Kingdom	1997.0	fDx628jn1YI	['Drama']
8	7574	tt0084649	The Secret of NIMH	The Secret is Revealed	1982.0	1OV3T6GWhIg	['Animation', 'Adventure', 'Drama']
9	495	tt0098084	Pet Sematary	I Brought You Something Mommy Scene	1989.0	gA-VU0mczSI	['Horror', 'Thriller']
10	5609	tt0104438	Honeymoon in Vegas	Chief Orman Scene	1992.0	rx4sKoITt-Q	['Comedy', 'Romance', 'Thriller']
11	20585	tt0114694	Tommy Boy	Airline Safety	1995.0	HWrjBBXjjhM	['Adventure', 'Comedy']
12	15118	tt0090060	St. Elmo's Fire	It Is Tomorrow	1985.0	4ZOT0aLogWU	['Drama', 'Romance']
13	16127	tt0109254	Beverly Hills Cop 3	Serge's Survival Boutique	1994.0	WF724QBowDo	['Action', 'Comedy', 'Crime']
14	1742	tt0083642	The Best Little Whorehouse in Texas	The Aggie Song Scene	1982.0	8O9FIRPJRXc	['Comedy', 'Musical']
15	17930	tt0373908	The Honeymooners	Bad Investments	2005.0	G5nY_snMhic	['Comedy', 'Drama', 'Family']
16	14340	tt0069976	Dillinger	Number 36	1973.0	fBB_lJ3Axqk	['Action', 'Biography', 'Crime']
