	Unnamed: 0.1	Unnamed: 0	imdbid	title	clip_name	year	videoid	genre
0	8568	2413	tt0102316	Little Man Tate	The Math Magician Scene	1991.0	RjDv_swo0rY	['Drama']
1	14859	21696	tt0299977	Hero	A 's Death	2002.0	KeTBqolcrO8	['Action', 'Adventure', 'History']
2	12859	19518	tt0266489	Duplex	Riverdance	2003.0	rrejfviNpqE	['Comedy']
3	13901	906	tt0279493	Undercover Brother	Race Chase Scene	2002.0	RMWfAkUhGCM	['Action', 'Comedy']
4	14831	11717	tt0186566	Space Cowboys	Landing the Shuttle	2000.0	rKHW39mShF4	['Action', 'Adventure', 'Thriller']
5	12632	9758	tt0094737	Big	Sleepover Scene	1988.0	gxeIvClLpKI	['Comedy', 'Drama', 'Fantasy']
6	1604	18803	tt0253754	Star Trek: Nemesis	A Shadow and an Echo	2002.0	NJJDRmtivWI	['Action', 'Adventure', 'Sci-Fi']
7	11258	13930	tt0383216	The Pink Panther	Keep Vigilant	2006.0	3pON6S9aDy4	['Adventure', 'Comedy', 'Crime']
8	13425	17663	tt0344604	Après vous...	Suicide Letter	2003.0	qO1-at2DUGU	['Comedy', 'Romance']
9	3107	26529	tt0119567	The Lost World: Jurassic Park	The T-Rex Takes San Diego	1997.0	p8fPj1-nKw0	['Action', 'Adventure', 'Sci-Fi']
10	2207	15183	tt0089457	Ladyhawke	Breaking the Curse	1985.0	cudAGo1nSKI	['Adventure', 'Comedy', 'Drama']
11	15543	3816	tt0172493	Girl, Interrupted	Ice Cream and Crazy People Scene	1999.0	S3Po0Tld8Po	['Biography', 'Drama']
12	16810	13547	tt0082416	The French Lieutenant's Woman	On the Sea Wall	1981.0	LQhfDQoYERY	['Drama', 'Romance']
13	2108	21405	tt0110907	Ready to Wear	These Boots Were Made for Walking	1994.0	JSetLbD948c	['Comedy', 'Drama']
14	12497	5421	tt0109835	Frank & Jesse	Let's Be Hunters Scene	1995.0	2AoKTalyiUA	['Biography', 'Western']
15	1113	26132	tt0087262	Firestarter	Hot Feet	1984.0	hPmV9DBCrfQ	['Action', 'Horror', 'Sci-Fi']
16	3214	24595	tt0096734	The 'burbs	The Femur	1989.0	Xpga1vtS3tA	['Comedy', 'Mystery', 'Thriller']
17	3649	26539	tt0163025	Jurassic Park 3	They Set a Trap	2001.0	TTLjOAdckzM	['Action', 'Adventure', 'Sci-Fi']
18	16923	135	tt0058672	Topkapi	Sofa Bet Scene	1964.0	vITX2N0hpYE	['Adventure', 'Comedy', 'Crime']
19	2693	24608	tt0087065	Cloak & Dagger	Morris Gets Shot	1984.0	gkfAyFT8xGc	['Action', 'Adventure', 'Crime']
20	9264	1005	tt1091863	With Great Power: The Stan Lee Story	Marvel Makes Movies Scene	2010.0	dbGs2OWRYqM	['Documentary', 'Biography']
21	8710	20022	tt0942385	Tropic Thunder	Rick Peck, Hollywood Agent	2008.0	KA2ziAAXoqE	['Action', 'Comedy', 'War']
22	16081	14411	tt0085811	Krull	Safe Passage	1983.0	WGGlUlvJffY	['Action', 'Adventure', 'Fantasy']
23	9296	6555	tt0108149	Six Degrees of Separation	Paul Seduces Rick	1993.0	HXtYMxtMlhI	['Comedy', 'Drama', 'Mystery']
24	1122	2354	tt0795421	Mamma Mia!	Voulez-Vous Scene	2008.0	alhVUKh36_Q	['Comedy', 'Musical', 'Romance']
25	4722	16873	tt0079640	North Dallas Forty	Pre-Game Final Words	1979.0	DCT__l4_m4g	['Comedy', 'Drama', 'Sport']
