Genre           Precision    Recall    F1-score    Support
action              0.388     0.357       0.372      373.0
adventure           0.430     0.165       0.238      389.0
comedy              0.445     0.860       0.586      521.0
crime               0.000     0.000       0.000      129.0
drama               0.381     0.935       0.541      505.0
horror              0.455     0.033       0.061      152.0
romance             0.000     0.000       0.000      127.0
thriller            0.000     0.000       0.000      111.0
micro avg           0.408     0.486       0.444     2307.0
macro avg           0.262     0.294       0.225     2307.0
weighted avg        0.349     0.486       0.355     2307.0
samples avg         0.408     0.517       0.444     2307.0
