Genre           Precision    Recall    F1-score    Support
action              0.432     0.584       0.496     1921.0
adventure           0.453     0.481       0.467     1882.0
comedy              0.524     0.730       0.610     2481.0
crime               0.249     0.101       0.143      705.0
drama               0.451     0.775       0.571     2587.0
horror              0.375     0.309       0.339      865.0
romance             0.307     0.090       0.139      555.0
thriller            0.284     0.046       0.079      588.0
micro avg           0.455     0.540       0.494    11584.0
macro avg           0.384     0.389       0.356    11584.0
weighted avg        0.431     0.540       0.461    11584.0
samples avg         0.455     0.565       0.492    11584.0
