	path	genre	Action	Adventure	Comedy	Crime	Drama	Horror	Romance	Thriller
0	frames\Action\06Its9LhIHQ\1196.jpg	['Action']	1	0	0	0	0	0	0	0
1	frames\Action\06Its9LhIHQ\1426.jpg	['Action']	1	0	0	0	0	0	0	0
2	frames\Action\06Its9LhIHQ\1656.jpg	['Action']	1	0	0	0	0	0	0	0
3	frames\Action\06Its9LhIHQ\1886.jpg	['Action']	1	0	0	0	0	0	0	0
4	frames\Action\06Its9LhIHQ\2116.jpg	['Action']	1	0	0	0	0	0	0	0
5	frames\Action\06Its9LhIHQ\2346.jpg	['Action']	1	0	0	0	0	0	0	0
6	frames\Action\06Its9LhIHQ\2576.jpg	['Action']	1	0	0	0	0	0	0	0
7	frames\Action\06Its9LhIHQ\276.jpg	['Action']	1	0	0	0	0	0	0	0
8	frames\Action\06Its9LhIHQ\2806.jpg	['Action']	1	0	0	0	0	0	0	0
9	frames\Action\06Its9LhIHQ\3036.jpg	['Action']	1	0	0	0	0	0	0	0
10	frames\Action\06Its9LhIHQ\46.jpg	['Action']	1	0	0	0	0	0	0	0
11	frames\Action\06Its9LhIHQ\506.jpg	['Action']	1	0	0	0	0	0	0	0
12	frames\Action\06Its9LhIHQ\736.jpg	['Action']	1	0	0	0	0	0	0	0
13	frames\Action\06Its9LhIHQ\966.jpg	['Action']	1	0	0	0	0	0	0	0
14	frames\Action\19u6S4Fqnss\1196.jpg	['Action']	1	0	0	0	0	0	0	0
15	frames\Action\19u6S4Fqnss\1426.jpg	['Action']	1	0	0	0	0	0	0	0
16	frames\Action\19u6S4Fqnss\1656.jpg	['Action']	1	0	0	0	0	0	0	0
17	frames\Action\19u6S4Fqnss\1886.jpg	['Action']	1	0	0	0	0	0	0	0
18	frames\Action\19u6S4Fqnss\2116.jpg	['Action']	1	0	0	0	0	0	0	0
19	frames\Action\19u6S4Fqnss\2346.jpg	['Action']	1	0	0	0	0	0	0	0
20	frames\Action\19u6S4Fqnss\2576.jpg	['Action']	1	0	0	0	0	0	0	0
21	frames\Action\19u6S4Fqnss\276.jpg	['Action']	1	0	0	0	0	0	0	0
22	frames\Action\19u6S4Fqnss\2806.jpg	['Action']	1	0	0	0	0	0	0	0
23	frames\Action\19u6S4Fqnss\46.jpg	['Action']	1	0	0	0	0	0	0	0
24	frames\Action\19u6S4Fqnss\506.jpg	['Action']	1	0	0	0	0	0	0	0
25	frames\Action\19u6S4Fqnss\736.jpg	['Action']	1	0	0	0	0	0	0	0
26	frames\Action\19u6S4Fqnss\966.jpg	['Action']	1	0	0	0	0	0	0	0
27	frames\Action\2GLDqvA6tKI\1196.jpg	['Action']	1	0	0	0	0	0	0	0
28	frames\Action\2GLDqvA6tKI\1426.jpg	['Action']	1	0	0	0	0	0	0	0
29	frames\Action\2GLDqvA6tKI\1656.jpg	['Action']	1	0	0	0	0	0	0	0
30	frames\Action\2GLDqvA6tKI\1886.jpg	['Action']	1	0	0	0	0	0	0	0
31	frames\Action\2GLDqvA6tKI\2116.jpg	['Action']	1	0	0	0	0	0	0	0
32	frames\Action\2GLDqvA6tKI\2346.jpg	['Action']	1	0	0	0	0	0	0	0
33	frames\Action\2GLDqvA6tKI\2576.jpg	['Action']	1	0	0	0	0	0	0	0
34	frames\Action\2GLDqvA6tKI\276.jpg	['Action']	1	0	0	0	0	0	0	0
35	frames\Action\2GLDqvA6tKI\2806.jpg	['Action']	1	0	0	0	0	0	0	0
36	frames\Action\2GLDqvA6tKI\3036.jpg	['Action']	1	0	0	0	0	0	0	0
37	frames\Action\2GLDqvA6tKI\3266.jpg	['Action']	1	0	0	0	0	0	0	0
38	frames\Action\2GLDqvA6tKI\46.jpg	['Action']	1	0	0	0	0	0	0	0
39	frames\Action\2GLDqvA6tKI\506.jpg	['Action']	1	0	0	0	0	0	0	0
40	frames\Action\2GLDqvA6tKI\736.jpg	['Action']	1	0	0	0	0	0	0	0
41	frames\Action\2GLDqvA6tKI\966.jpg	['Action']	1	0	0	0	0	0	0	0
42	frames\Action\3FPsMeQ6Ra4\1196.jpg	['Action']	1	0	0	0	0	0	0	0
43	frames\Action\3FPsMeQ6Ra4\1426.jpg	['Action']	1	0	0	0	0	0	0	0
44	frames\Action\3FPsMeQ6Ra4\1656.jpg	['Action']	1	0	0	0	0	0	0	0
45	frames\Action\3FPsMeQ6Ra4\1886.jpg	['Action']	1	0	0	0	0	0	0	0
46	frames\Action\3FPsMeQ6Ra4\2116.jpg	['Action']	1	0	0	0	0	0	0	0
47	frames\Action\3FPsMeQ6Ra4\2346.jpg	['Action']	1	0	0	0	0	0	0	0
48	frames\Action\3FPsMeQ6Ra4\2576.jpg	['Action']	1	0	0	0	0	0	0	0
