	path	genre	Drama	Act_Adv	Com_Rom	Thr_Hor_Cri
0	frames\Comedy\ojiHA64n6iw\2346.jpg	Com_Rom	0	0	1	0
1	frames\Adventure_Drama\RGuY5r-7ta4\46.jpg	Act_Adv	0	1	0	0
2	frames\Comedy_Romance\F8UwjJzF4LY\1656.jpg	Com_Rom	0	0	1	0
3	frames\Action_Horror\1d-Q6pT4pxo\506.jpg	Thr_Hor_Cri	0	0	0	1
4	frames\Adventure_Thriller\sIY7BQkbIT8\1196.jpg	Thr_Hor_Cri	0	0	0	1
5	frames\Adventure_Comedy\fki-LTswICw\2116.jpg	Act_Adv	0	1	0	0
6	frames\Drama\Ih-_ZmPZ1x8\506.jpg	Drama	1	0	0	0
7	frames\Crime_Drama\Vln90evTYog\1886.jpg	Thr_Hor_Cri	0	0	0	1
8	frames\Action_Crime\q9iIgRYUyA0\46.jpg	Thr_Hor_Cri	0	0	0	1
9	frames\Crime_Drama\tNZKO_68_WI\506.jpg	Thr_Hor_Cri	0	0	0	1
10	frames\Horror\bxAiioYl1bw\46.jpg	Thr_Hor_Cri	0	0	0	1
11	frames\Adventure_Comedy\6I5B0jyLBUg\46.jpg	Act_Adv	0	1	0	0
12	frames\Crime_Drama\uDr8qT3BlHM\1656.jpg	Thr_Hor_Cri	0	0	0	1
13	frames\Comedy_Crime\jPf2y2QGoJw\2116.jpg	Thr_Hor_Cri	0	0	0	1
14	frames\Action\ct-PElgfWJY\1196.jpg	Act_Adv	0	1	0	0
15	frames\Drama_Romance\5Xk31NpUX1g\736.jpg	Com_Rom	0	0	1	0
16	frames\Comedy_Romance\qu4v5hB1dKk\1656.jpg	Com_Rom	0	0	1	0
17	frames\Action_Adventure\Xjp16xSdsp0\1886.jpg	Act_Adv	0	1	0	0
18	frames\Comedy_Crime\nODBN75vrH0\46.jpg	Thr_Hor_Cri	0	0	0	1
19	frames\Action_Adventure\zsqpY4w2e1Q\2576.jpg	Act_Adv	0	1	0	0
20	frames\Action\zstIMA6K-Ws\1196.jpg	Act_Adv	0	1	0	0
21	frames\Action_Adventure\hwc74Ns9EZI\1426.jpg	Act_Adv	0	1	0	0
22	frames\Comedy_Drama\HO6yGAV4G0A\46.jpg	Com_Rom	0	0	1	0
23	frames\Adventure\Z-Hye1zg5IU\2346.jpg	Act_Adv	0	1	0	0
24	frames\Comedy_Drama\m5Qi_YVxd5M\736.jpg	Com_Rom	0	0	1	0
25	frames\Action_Adventure\0_1NU60qHWs\966.jpg	Act_Adv	0	1	0	0
26	frames\Action_Adventure\i2gVXd7FzhQ\1196.jpg	Act_Adv	0	1	0	0
27	frames\Action_Adventure\KAal6-tvckw\276.jpg	Act_Adv	0	1	0	0
28	frames\Action_Adventure\fg58hVEY5Og\1656.jpg	Act_Adv	0	1	0	0
29	frames\Comedy_Drama\mdHpbI8Y7Oo\3496.jpg	Com_Rom	0	0	1	0
30	frames\Horror_Thriller\qqWVQuCaB6Y\1196.jpg	Thr_Hor_Cri	0	0	0	1
31	frames\Drama\BrLcbi68R_A\736.jpg	Drama	1	0	0	0
32	frames\Action_Drama\AwLRD7iEEKI\46.jpg	Act_Adv	0	1	0	0
33	frames\Comedy\fVVoh_Xh0xo\2346.jpg	Com_Rom	0	0	1	0
34	frames\Crime_Drama\euvUARojiiI\1886.jpg	Thr_Hor_Cri	0	0	0	1
35	frames\Comedy_Drama\RrQppEXvRcM\1426.jpg	Com_Rom	0	0	1	0
36	frames\Drama\vKhAdR1G9io\1656.jpg	Drama	1	0	0	0
37	frames\Drama_Horror\gS6ibQuZIS8\2576.jpg	Thr_Hor_Cri	0	0	0	1
38	frames\Crime_Drama\iI8w5AQJcN8\2116.jpg	Thr_Hor_Cri	0	0	0	1
39	frames\Action_Adventure\qs1QcRTOMEg\736.jpg	Act_Adv	0	1	0	0
40	frames\Crime_Drama\RisSaXLB5ok\2346.jpg	Thr_Hor_Cri	0	0	0	1
41	frames\Horror\kaXM8DMSm-g\966.jpg	Thr_Hor_Cri	0	0	0	1
42	frames\Comedy_Drama\DQaHIFC9034\966.jpg	Com_Rom	0	0	1	0
43	frames\Comedy\VyydT8dy3Hs\1196.jpg	Com_Rom	0	0	1	0
44	frames\Comedy_Drama\PTQLBv8sgDI\2806.jpg	Com_Rom	0	0	1	0
45	frames\Action_Thriller\ZMlGZcr95To\46.jpg	Thr_Hor_Cri	0	0	0	1
46	frames\Drama\TBHjt3AyALw\1886.jpg	Drama	1	0	0	0
47	frames\Comedy_Romance\PSG5uNsnkks\2116.jpg	Com_Rom	0	0	1	0
48	frames\Adventure\jPSjDk0CM68\2116.jpg	Act_Adv	0	1	0	0
49	frames\Adventure_Drama\Zx2SsdhKqbk\276.jpg	Act_Adv	0	1	0	0
50	frames\Horror_Thriller\7SojZ1TuMsk\276.jpg	Thr_Hor_Cri	0	0	0	1
51	frames\Action_Crime\U4DZWsXvRUA\966.jpg	Thr_Hor_Cri	0	0	0	1
52	frames\Action_Drama\mKDqrUqOe8Y\2346.jpg	Act_Adv	0	1	0	0
53	frames\Comedy_Drama\qlUmBE6uGu8\46.jpg	Com_Rom	0	0	1	0
54	frames\Comedy\IzkrKfk4kYE\736.jpg	Com_Rom	0	0	1	0
55	frames\Drama\j4yXEmQRq34\2806.jpg	Drama	1	0	0	0
56	frames\Adventure_Comedy\JIqfgLLZhAk\2806.jpg	Act_Adv	0	1	0	0
57	frames\Action_Adventure\Y6B9nkrSuMI\736.jpg	Act_Adv	0	1	0	0
58	frames\Adventure_Comedy\SR5BfQ4rEqQ\1426.jpg	Act_Adv	0	1	0	0
59	frames\Adventure_Comedy\AxpzOZT_C0o\3496.jpg	Act_Adv	0	1	0	0
60	frames\Comedy_Drama\Pn7M9PpQEgo\506.jpg	Com_Rom	0	0	1	0
61	frames\Action_Thriller\xiwtX0NC0uA\1886.jpg	Thr_Hor_Cri	0	0	0	1
62	frames\Comedy_Romance\5h8EbDuS0so\2806.jpg	Com_Rom	0	0	1	0
63	frames\Action_Adventure\Jwaw24W2bW0\2576.jpg	Act_Adv	0	1	0	0
64	frames\Adventure_Comedy\02Or-Hx3yqc\1196.jpg	Act_Adv	0	1	0	0
65	frames\Action\19u6S4Fqnss\966.jpg	Act_Adv	0	1	0	0
66	frames\Action_Comedy\LQNKhY7ws48\276.jpg	Act_Adv	0	1	0	0
67	frames\Thriller\9l_U2xXb9VI\966.jpg	Thr_Hor_Cri	0	0	0	1
68	frames\Action_Drama\hLbozjgBIE0\276.jpg	Act_Adv	0	1	0	0
69	frames\Drama_Thriller\ja4l7-L7n6M\46.jpg	Thr_Hor_Cri	0	0	0	1
70	frames\Horror_Romance\B22vWcjNR9I\736.jpg	Thr_Hor_Cri	0	0	0	1
71	frames\Horror\EiVRkqi02a0\276.jpg	Thr_Hor_Cri	0	0	0	1
72	frames\Adventure_Comedy\IpW3QbVzNCI\1426.jpg	Act_Adv	0	1	0	0
73	frames\Comedy_Drama\w9sO9o8LNvQ\1656.jpg	Com_Rom	0	0	1	0
74	frames\Action_Adventure\0UlzQ-bao3Q\506.jpg	Act_Adv	0	1	0	0
75	frames\Comedy_Horror\qcFM5Xhg8W8\1196.jpg	Thr_Hor_Cri	0	0	0	1
76	frames\Adventure_Comedy\Gt4t3ZZsAnQ\46.jpg	Act_Adv	0	1	0	0
77	frames\Drama_Romance\szLCkEBB6xs\736.jpg	Com_Rom	0	0	1	0
78	frames\Adventure_Comedy\vaJ2yQC_ktY\4876.jpg	Act_Adv	0	1	0	0
79	frames\Action_Drama\JDbwEQG2cqI\1886.jpg	Act_Adv	0	1	0	0
80	frames\Action_Drama\0pRYoClF9w4\1426.jpg	Act_Adv	0	1	0	0
81	frames\Adventure\Jah71XURbIg\1886.jpg	Act_Adv	0	1	0	0
82	frames\Adventure\IZcMgDET-fY\1196.jpg	Act_Adv	0	1	0	0
83	frames\Comedy_Horror\6JSqeViZRU0\966.jpg	Thr_Hor_Cri	0	0	0	1
84	frames\Action\19u6S4Fqnss\2806.jpg	Act_Adv	0	1	0	0
85	frames\Action_Adventure\C1NgX-w54RY\2576.jpg	Act_Adv	0	1	0	0
86	frames\Comedy_Drama\_4DRXSdPuCo\2116.jpg	Com_Rom	0	0	1	0
