	path	genre	Drama	Act_Adv	Com_Rom	Thr_Hor_Cri
0	frames\Action\06Its9LhIHQ\1196.jpg	Act_Adv	0	1	0	0
1	frames\Action\06Its9LhIHQ\1426.jpg	Act_Adv	0	1	0	0
1	frames/Action/06Its9LhIHQ/1426_aug.jpg	Act_Adv	0	1	0	0
2	frames\Action\06Its9LhIHQ\1656.jpg	Act_Adv	0	1	0	0
3	frames\Action\06Its9LhIHQ\1886.jpg	Act_Adv	0	1	0	0
4	frames\Action\06Its9LhIHQ\2116.jpg	Act_Adv	0	1	0	0
4	frames/Action/06Its9LhIHQ/2116_aug.jpg	Act_Adv	0	1	0	0
5	frames\Action\06Its9LhIHQ\2346.jpg	Act_Adv	0	1	0	0
6	frames\Action\06Its9LhIHQ\2576.jpg	Act_Adv	0	1	0	0
7	frames\Action\06Its9LhIHQ\276.jpg	Act_Adv	0	1	0	0
8	frames\Action\06Its9LhIHQ\2806.jpg	Act_Adv	0	1	0	0
9	frames\Action\06Its9LhIHQ\3036.jpg	Act_Adv	0	1	0	0
10	frames\Action\06Its9LhIHQ\46.jpg	Act_Adv	0	1	0	0
11	frames\Action\06Its9LhIHQ\506.jpg	Act_Adv	0	1	0	0
12	frames\Action\06Its9LhIHQ\736.jpg	Act_Adv	0	1	0	0
13	frames\Action\06Its9LhIHQ\966.jpg	Act_Adv	0	1	0	0
14	frames\Action\19u6S4Fqnss\1196.jpg	Act_Adv	0	1	0	0
14	frames/Action/19u6S4Fqnss/1196_aug.jpg	Act_Adv	0	1	0	0
15	frames\Action\19u6S4Fqnss\1426.jpg	Act_Adv	0	1	0	0
16	frames\Action\19u6S4Fqnss\1656.jpg	Act_Adv	0	1	0	0
17	frames\Action\19u6S4Fqnss\1886.jpg	Act_Adv	0	1	0	0
18	frames\Action\19u6S4Fqnss\2116.jpg	Act_Adv	0	1	0	0
19	frames\Action\19u6S4Fqnss\2346.jpg	Act_Adv	0	1	0	0
19	frames/Action/19u6S4Fqnss/2346_aug.jpg	Act_Adv	0	1	0	0
20	frames\Action\19u6S4Fqnss\2576.jpg	Act_Adv	0	1	0	0
21	frames\Action\19u6S4Fqnss\276.jpg	Act_Adv	0	1	0	0
22	frames\Action\19u6S4Fqnss\2806.jpg	Act_Adv	0	1	0	0
23	frames\Action\19u6S4Fqnss\46.jpg	Act_Adv	0	1	0	0
24	frames\Action\19u6S4Fqnss\506.jpg	Act_Adv	0	1	0	0
25	frames\Action\19u6S4Fqnss\736.jpg	Act_Adv	0	1	0	0
26	frames\Action\19u6S4Fqnss\966.jpg	Act_Adv	0	1	0	0
26	frames/Action/19u6S4Fqnss/966_aug.jpg	Act_Adv	0	1	0	0
27	frames\Action\2GLDqvA6tKI\1196.jpg	Act_Adv	0	1	0	0
28	frames\Action\2GLDqvA6tKI\1426.jpg	Act_Adv	0	1	0	0
28	frames/Action/2GLDqvA6tKI/1426_aug.jpg	Act_Adv	0	1	0	0
29	frames\Action\2GLDqvA6tKI\1656.jpg	Act_Adv	0	1	0	0
30	frames\Action\2GLDqvA6tKI\1886.jpg	Act_Adv	0	1	0	0
31	frames\Action\2GLDqvA6tKI\2116.jpg	Act_Adv	0	1	0	0
32	frames\Action\2GLDqvA6tKI\2346.jpg	Act_Adv	0	1	0	0
33	frames\Action\2GLDqvA6tKI\2576.jpg	Act_Adv	0	1	0	0
34	frames\Action\2GLDqvA6tKI\276.jpg	Act_Adv	0	1	0	0
35	frames\Action\2GLDqvA6tKI\2806.jpg	Act_Adv	0	1	0	0
36	frames\Action\2GLDqvA6tKI\3036.jpg	Act_Adv	0	1	0	0
37	frames\Action\2GLDqvA6tKI\3266.jpg	Act_Adv	0	1	0	0
38	frames\Action\2GLDqvA6tKI\46.jpg	Act_Adv	0	1	0	0
39	frames\Action\2GLDqvA6tKI\506.jpg	Act_Adv	0	1	0	0
40	frames\Action\2GLDqvA6tKI\736.jpg	Act_Adv	0	1	0	0
41	frames\Action\2GLDqvA6tKI\966.jpg	Act_Adv	0	1	0	0
42	frames\Action\3FPsMeQ6Ra4\1196.jpg	Act_Adv	0	1	0	0
43	frames\Action\3FPsMeQ6Ra4\1426.jpg	Act_Adv	0	1	0	0
44	frames\Action\3FPsMeQ6Ra4\1656.jpg	Act_Adv	0	1	0	0
45	frames\Action\3FPsMeQ6Ra4\1886.jpg	Act_Adv	0	1	0	0
46	frames\Action\3FPsMeQ6Ra4\2116.jpg	Act_Adv	0	1	0	0
47	frames\Action\3FPsMeQ6Ra4\2346.jpg	Act_Adv	0	1	0	0
47	frames/Action/3FPsMeQ6Ra4/2346_aug.jpg	Act_Adv	0	1	0	0
48	frames\Action\3FPsMeQ6Ra4\2576.jpg	Act_Adv	0	1	0	0
49	frames\Action\3FPsMeQ6Ra4\276.jpg	Act_Adv	0	1	0	0
50	frames\Action\3FPsMeQ6Ra4\2806.jpg	Act_Adv	0	1	0	0
51	frames\Action\3FPsMeQ6Ra4\3036.jpg	Act_Adv	0	1	0	0
52	frames\Action\3FPsMeQ6Ra4\3266.jpg	Act_Adv	0	1	0	0
53	frames\Action\3FPsMeQ6Ra4\46.jpg	Act_Adv	0	1	0	0
54	frames\Action\3FPsMeQ6Ra4\506.jpg	Act_Adv	0	1	0	0
55	frames\Action\3FPsMeQ6Ra4\736.jpg	Act_Adv	0	1	0	0
56	frames\Action\3FPsMeQ6Ra4\966.jpg	Act_Adv	0	1	0	0
57	frames\Action\3k9G5rq86PU\1196.jpg	Act_Adv	0	1	0	0
58	frames\Action\3k9G5rq86PU\1426.jpg	Act_Adv	0	1	0	0
59	frames\Action\3k9G5rq86PU\1656.jpg	Act_Adv	0	1	0	0
60	frames\Action\3k9G5rq86PU\1886.jpg	Act_Adv	0	1	0	0
61	frames\Action\3k9G5rq86PU\2116.jpg	Act_Adv	0	1	0	0
62	frames\Action\3k9G5rq86PU\2346.jpg	Act_Adv	0	1	0	0
62	frames/Action/3k9G5rq86PU/2346_aug.jpg	Act_Adv	0	1	0	0
63	frames\Action\3k9G5rq86PU\2576.jpg	Act_Adv	0	1	0	0
64	frames\Action\3k9G5rq86PU\276.jpg	Act_Adv	0	1	0	0
65	frames\Action\3k9G5rq86PU\2806.jpg	Act_Adv	0	1	0	0
66	frames\Action\3k9G5rq86PU\3036.jpg	Act_Adv	0	1	0	0
