Unnamed: 0	path	genre	Act_Adv	Thr_Hor_Cri
1	frames\Adventure_Drama\RGuY5r-7ta4\46.jpg	Act_Adv	1	0
3	frames\Action_Horror\1d-Q6pT4pxo\506.jpg	Thr_Hor_Cri	0	1
4	frames\Adventure_Thriller\sIY7BQkbIT8\1196.jpg	Thr_Hor_Cri	0	1
5	frames\Adventure_Comedy\fki-LTswICw\2116.jpg	Act_Adv	1	0
7	frames\Crime_Drama\Vln90evTYog\1886.jpg	Thr_Hor_Cri	0	1
8	frames\Action_Crime\q9iIgRYUyA0\46.jpg	Thr_Hor_Cri	0	1
9	frames\Crime_Drama\tNZKO_68_WI\506.jpg	Thr_Hor_Cri	0	1
9	frames/Crime_Drama/tNZKO_68_WI/506_aug.jpg	Thr_Hor_Cri	0	1
10	frames\Horror\bxAiioYl1bw\46.jpg	Thr_Hor_Cri	0	1
11	frames\Adventure_Comedy\6I5B0jyLBUg\46.jpg	Act_Adv	1	0
12	frames\Crime_Drama\uDr8qT3BlHM\1656.jpg	Thr_Hor_Cri	0	1
12	frames/Crime_Drama/uDr8qT3BlHM/1656_aug.jpg	Thr_Hor_Cri	0	1
13	frames\Comedy_Crime\jPf2y2QGoJw\2116.jpg	Thr_Hor_Cri	0	1
13	frames/Comedy_Crime/jPf2y2QGoJw/2116_aug.jpg	Thr_Hor_Cri	0	1
14	frames\Action\ct-PElgfWJY\1196.jpg	Act_Adv	1	0
17	frames\Action_Adventure\Xjp16xSdsp0\1886.jpg	Act_Adv	1	0
18	frames\Comedy_Crime\nODBN75vrH0\46.jpg	Thr_Hor_Cri	0	1
18	frames/Comedy_Crime/nODBN75vrH0/46_aug.jpg	Thr_Hor_Cri	0	1
19	frames\Action_Adventure\zsqpY4w2e1Q\2576.jpg	Act_Adv	1	0
20	frames\Action\zstIMA6K-Ws\1196.jpg	Act_Adv	1	0
21	frames\Action_Adventure\hwc74Ns9EZI\1426.jpg	Act_Adv	1	0
23	frames\Adventure\Z-Hye1zg5IU\2346.jpg	Act_Adv	1	0
25	frames\Action_Adventure\0_1NU60qHWs\966.jpg	Act_Adv	1	0
26	frames\Action_Adventure\i2gVXd7FzhQ\1196.jpg	Act_Adv	1	0
27	frames\Action_Adventure\KAal6-tvckw\276.jpg	Act_Adv	1	0
28	frames\Action_Adventure\fg58hVEY5Og\1656.jpg	Act_Adv	1	0
30	frames\Horror_Thriller\qqWVQuCaB6Y\1196.jpg	Thr_Hor_Cri	0	1
30	frames/Horror_Thriller/qqWVQuCaB6Y/1196_aug.jpg	Thr_Hor_Cri	0	1
32	frames\Action_Drama\AwLRD7iEEKI\46.jpg	Act_Adv	1	0
34	frames\Crime_Drama\euvUARojiiI\1886.jpg	Thr_Hor_Cri	0	1
37	frames\Drama_Horror\gS6ibQuZIS8\2576.jpg	Thr_Hor_Cri	0	1
37	frames/Drama_Horror/gS6ibQuZIS8/2576_aug.jpg	Thr_Hor_Cri	0	1
38	frames\Crime_Drama\iI8w5AQJcN8\2116.jpg	Thr_Hor_Cri	0	1
39	frames\Action_Adventure\qs1QcRTOMEg\736.jpg	Act_Adv	1	0
40	frames\Crime_Drama\RisSaXLB5ok\2346.jpg	Thr_Hor_Cri	0	1
41	frames\Horror\kaXM8DMSm-g\966.jpg	Thr_Hor_Cri	0	1
