	path	genre	Action	Adventure	Comedy	Crime	Drama	Horror	Romance	Thriller
0	frames\Action_Adventure\vUrgn1Vm86I\966.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
1	frames\Action_Adventure\vUrgn1Vm86I\506.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
2	frames\Action_Adventure\vUrgn1Vm86I\1886.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
3	frames\Action_Adventure\vUrgn1Vm86I\1196.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
4	frames\Action_Adventure\vUrgn1Vm86I\276.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
5	frames\Action_Adventure\vUrgn1Vm86I\46.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
6	frames\Action_Adventure\vUrgn1Vm86I\2116.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
7	frames\Action_Adventure\vUrgn1Vm86I\2806.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
8	frames\Action_Adventure\vUrgn1Vm86I\736.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
9	frames\Action_Adventure\vUrgn1Vm86I\1656.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
10	frames\Action_Adventure\vUrgn1Vm86I\1426.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
11	frames\Action_Adventure\vUrgn1Vm86I\2346.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
12	frames\Action_Adventure\vUrgn1Vm86I\2576.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
13	frames\Action_Adventure\NC34ce5BkWQ\276.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
14	frames\Action_Adventure\NC34ce5BkWQ\736.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
15	frames\Action_Adventure\NC34ce5BkWQ\506.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
16	frames\Action_Adventure\NC34ce5BkWQ\46.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
17	frames\Action_Adventure\NC34ce5BkWQ\1196.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
18	frames\Action_Adventure\NC34ce5BkWQ\966.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
19	frames\Action\VVp0l2Vas2I\1886.jpg	['Action']	1	0	0	0	0	0	0	0
20	frames\Action\VVp0l2Vas2I\276.jpg	['Action']	1	0	0	0	0	0	0	0
21	frames\Action\VVp0l2Vas2I\2576.jpg	['Action']	1	0	0	0	0	0	0	0
22	frames\Action\VVp0l2Vas2I\1426.jpg	['Action']	1	0	0	0	0	0	0	0
23	frames\Action\VVp0l2Vas2I\3036.jpg	['Action']	1	0	0	0	0	0	0	0
24	frames\Action\VVp0l2Vas2I\966.jpg	['Action']	1	0	0	0	0	0	0	0
25	frames\Action\VVp0l2Vas2I\736.jpg	['Action']	1	0	0	0	0	0	0	0
26	frames\Action\VVp0l2Vas2I\1656.jpg	['Action']	1	0	0	0	0	0	0	0
27	frames\Action\VVp0l2Vas2I\506.jpg	['Action']	1	0	0	0	0	0	0	0
28	frames\Action\VVp0l2Vas2I\2116.jpg	['Action']	1	0	0	0	0	0	0	0
29	frames\Action\VVp0l2Vas2I\3266.jpg	['Action']	1	0	0	0	0	0	0	0
30	frames\Action\VVp0l2Vas2I\2346.jpg	['Action']	1	0	0	0	0	0	0	0
31	frames\Action\VVp0l2Vas2I\2806.jpg	['Action']	1	0	0	0	0	0	0	0
32	frames\Action\VVp0l2Vas2I\1196.jpg	['Action']	1	0	0	0	0	0	0	0
33	frames\Action\VVp0l2Vas2I\3496.jpg	['Action']	1	0	0	0	0	0	0	0
34	frames\Action\VVp0l2Vas2I\46.jpg	['Action']	1	0	0	0	0	0	0	0
35	frames\Adventure_Comedy\02Or-Hx3yqc\2116.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
36	frames\Adventure_Comedy\02Or-Hx3yqc\736.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
37	frames\Adventure_Comedy\02Or-Hx3yqc\2576.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
38	frames\Adventure_Comedy\02Or-Hx3yqc\506.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
39	frames\Adventure_Comedy\02Or-Hx3yqc\966.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
40	frames\Adventure_Comedy\02Or-Hx3yqc\1426.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
41	frames\Adventure_Comedy\02Or-Hx3yqc\1886.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
42	frames\Adventure_Comedy\02Or-Hx3yqc\276.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
43	frames\Adventure_Comedy\02Or-Hx3yqc\1196.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
44	frames\Adventure_Comedy\02Or-Hx3yqc\2346.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
45	frames\Adventure_Comedy\02Or-Hx3yqc\46.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
46	frames\Adventure_Comedy\02Or-Hx3yqc\1656.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
47	frames\Adventure_Comedy\02Or-Hx3yqc\2806.jpg	['Adventure', 'Comedy']	0	1	1	0	0	0	0	0
48	frames\Action_Adventure\fmIaHAtabSU\1886.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
49	frames\Action_Adventure\fmIaHAtabSU\506.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
50	frames\Action_Adventure\fmIaHAtabSU\736.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
51	frames\Action_Adventure\fmIaHAtabSU\1426.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
52	frames\Action_Adventure\fmIaHAtabSU\46.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
53	frames\Action_Adventure\fmIaHAtabSU\1656.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
54	frames\Action_Adventure\fmIaHAtabSU\1196.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
55	frames\Action_Adventure\fmIaHAtabSU\2116.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
56	frames\Action_Adventure\fmIaHAtabSU\966.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
57	frames\Action_Adventure\fmIaHAtabSU\276.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
58	frames\Action_Adventure\fmIaHAtabSU\2576.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
59	frames\Action_Adventure\fmIaHAtabSU\2346.jpg	['Action', 'Adventure']	1	1	0	0	0	0	0	0
60	frames\Horror\oWSIUe5wYvc\1886.jpg	['Horror']	0	0	0	0	0	1	0	0
61	frames\Horror\oWSIUe5wYvc\966.jpg	['Horror']	0	0	0	0	0	1	0	0
62	frames\Horror\oWSIUe5wYvc\1426.jpg	['Horror']	0	0	0	0	0	1	0	0
63	frames\Horror\oWSIUe5wYvc\1656.jpg	['Horror']	0	0	0	0	0	1	0	0
64	frames\Horror\oWSIUe5wYvc\736.jpg	['Horror']	0	0	0	0	0	1	0	0
65	frames\Horror\oWSIUe5wYvc\1196.jpg	['Horror']	0	0	0	0	0	1	0	0
66	frames\Horror\oWSIUe5wYvc\2116.jpg	['Horror']	0	0	0	0	0	1	0	0
67	frames\Horror\oWSIUe5wYvc\2346.jpg	['Horror']	0	0	0	0	0	1	0	0
68	frames\Horror\oWSIUe5wYvc\506.jpg	['Horror']	0	0	0	0	0	1	0	0
69	frames\Horror\oWSIUe5wYvc\2576.jpg	['Horror']	0	0	0	0	0	1	0	0
70	frames\Horror\oWSIUe5wYvc\46.jpg	['Horror']	0	0	0	0	0	1	0	0
71	frames\Horror\oWSIUe5wYvc\276.jpg	['Horror']	0	0	0	0	0	1	0	0
72	frames\Crime_Drama\XNZRK35VNrk\1426.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
73	frames\Crime_Drama\XNZRK35VNrk\736.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
74	frames\Crime_Drama\XNZRK35VNrk\1196.jpg	['Crime', 'Drama']	0	0	0	1	1	0	0	0
