	imdbid	title	clip_name	year	videoid	genre
0	tt0448115	Shazam!	Shazam vs. Dr. Sivana Scene	2019.0	jbvQvJV_97M	['Action', 'Adventure', 'Comedy']
1	tt0448115	Shazam!	Dr. Sivana Attacks Scene	2019.0	g8pt9OoaPlY	['Action', 'Adventure', 'Comedy']
2	tt0448115	Shazam!	The Shazam Fam Scene	2019.0	AONuDilRd5k	['Action', 'Adventure', 'Comedy']
3	tt0448115	Shazam!	Fighting The Seven Deadly Sins Scene	2019.0	_nSQhWq7etg	['Action', 'Adventure', 'Comedy']
4	tt0448115	Shazam!	Playtime's Over Scene	2019.0	-W8pOz1fsD0	['Action', 'Adventure', 'Comedy']
5	tt0448115	Shazam!	Carnival of Sins Scene	2019.0	ChIQpmBLPAo	['Action', 'Adventure', 'Comedy']
6	tt0448115	Shazam!	Mister Mind Scene	2019.0	GC6ksHacdXI	['Action', 'Adventure', 'Comedy']
7	tt0109288	Blankman	Welcome to McDonald's Scene	1994.0	lsa5PDPgJmI	['Comedy', 'Action', 'Crime']
8	tt0109288	Blankman	The Pregnant Lady Scene	1994.0	MGBHNeYbsbg	['Comedy', 'Action', 'Crime']
9	tt0109288	Blankman	The City's New Heroes Scene	1994.0	-mXoZz1dqMQ	['Comedy', 'Action', 'Crime']
10	tt0109288	Blankman	Protecting the Neighborhood Scene	1994.0	Jgye_cEhfGQ	['Comedy', 'Action', 'Crime']
11	tt0109288	Blankman	Blowing It Scene	1994.0	-jpEsYBH3g4	['Comedy', 'Action', 'Crime']
12	tt0109288	Blankman	The Bank Heist Scene	1994.0	ljAdSzBv0ug	['Comedy', 'Action', 'Crime']
13	tt0109288	Blankman	Let the Lady Go Scene	1994.0	RFR3AJ-jE88	['Comedy', 'Action', 'Crime']
14	tt0109288	Blankman	Is This the End? Scene	1994.0	RLbry-3z8yQ	['Comedy', 'Action', 'Crime']
15	tt0109288	Blankman	The Jig is Up Scene	1994.0	sM1I11qUM44	['Comedy', 'Action', 'Crime']
16	tt0109288	Blankman	The Blank Wheel Scene	1994.0	RxwUv1BcPwg	['Comedy', 'Action', 'Crime']
17	tt0077288	La Cage aux Folles	The Parents' Reaction Scene	1979.0	2LwWmJojqvM	['Comedy']
18	tt0077288	La Cage aux Folles	Just Like John Wayne Scene	1979.0	tXhTaL04ByA	['Comedy']
19	tt0077288	La Cage aux Folles	Escaping in Drag Scene	1979.0	mBiT0g4TIYc	['Comedy']
20	tt0077288	La Cage aux Folles	Buttering Toast Like a Man Scene	1979.0	cW7AkQihsa8	['Comedy']
21	tt0077288	La Cage aux Folles	Albin's Leaving Scene	1979.0	db1o8mTCBXU	['Comedy']
22	tt0077288	La Cage aux Folles	A Real Butler Scene	1979.0	JYwvFPjJ7dM	['Comedy']
23	tt0077288	La Cage aux Folles	You Don't Love Me Anymore Scene	1979.0	6RbMqRpNqmY	['Comedy']
24	tt0077288	La Cage aux Folles	The Ruse is Ruined Scene	1979.0	RdpvBc4bahI	['Comedy']
25	tt0077288	La Cage aux Folles	"Laurent's ""Mother"" Scene"	1979.0	9lqv-q15y1c	['Comedy']
26	tt0077288	La Cage aux Folles	He's Getting Married Scene	1979.0	ATNjQgr7LXc	['Comedy']
27	tt0408306	Munich	Did I Commit Murder? Scene	2005.0	0bR6pUOhZo4	['Action', 'Drama', 'History']
28	tt0116225	Escape From L.A.	Shot and Sheared Scene	1996.0	cj5Mp68u2tY	['Action', 'Adventure', 'Sci-Fi']
29	tt0116225	Escape From L.A.	Surfboard Car Chase Scene	1996.0	a3HOCIXroqQ	['Action', 'Adventure', 'Sci-Fi']
30	tt0116225	Escape From L.A.	Basketball to the Death Scene	1996.0	BMlHiDzHkSk	['Action', 'Adventure', 'Sci-Fi']
31	tt0116225	Escape From L.A.	The Surgeon General Scene	1996.0	8OilisaAv0I	['Action', 'Adventure', 'Sci-Fi']
32	tt0116225	Escape From L.A.	Shutting Down the Earth Scene	1996.0	0tro-o0fOk4	['Action', 'Adventure', 'Sci-Fi']
33	tt0116225	Escape From L.A.	Hang Glider Assault Scene	1996.0	_X8bBE1M994	['Action', 'Adventure', 'Sci-Fi']
34	tt0116225	Escape From L.A.	Bangkok Rules Scene	1996.0	4N_0iP8TSRo	['Action', 'Adventure', 'Sci-Fi']
35	tt0116225	Escape From L.A.	Helicopter Explosion Scene	1996.0	40p6dkKil_8	['Action', 'Adventure', 'Sci-Fi']
36	tt0116225	Escape From L.A.	Torpedo Sub to L.A. Scene	1996.0	WCf36CQxBfY	['Action', 'Adventure', 'Sci-Fi']
37	tt0116225	Escape From L.A.	Fun Gun Injection Scene	1996.0	aEIaR1nlEoo	['Action', 'Adventure', 'Sci-Fi']
38	tt0082782	My Bloody Valentine	Shower of Death Scene	1981.0	6JfQ82WowC8	['Horror', 'Mystery', 'Thriller']
39	tt0082782	My Bloody Valentine	Nail Gun Kill Scene	1981.0	f06qimixOOI	['Horror', 'Mystery', 'Thriller']
40	tt0082782	My Bloody Valentine	Minecart Murder Scene	1981.0	rS_HIFTV7wM	['Horror', 'Mystery', 'Thriller']
41	tt0082782	My Bloody Valentine	Peak-a-Boo Killing Scene	1981.0	EodzQpkDFYo	['Horror', 'Mystery', 'Thriller']
42	tt0082782	My Bloody Valentine	Tunnel of Love Scene	1981.0	uifDWAJ6rBY	['Horror', 'Mystery', 'Thriller']
43	tt0082782	My Bloody Valentine	This Town is Cursed Scene	1981.0	QfSL-PSHTkQ	['Horror', 'Mystery', 'Thriller']
44	tt0082782	My Bloody Valentine	Messy Hanging Scene	1981.0	21Vg94SOqk0	['Horror', 'Mystery', 'Thriller']
45	tt0082782	My Bloody Valentine	Laundromat Lashing Scene	1981.0	acZDS8WDtHs	['Horror', 'Mystery', 'Thriller']
46	tt0082782	My Bloody Valentine	Pickaxe to the Gut Scene	1981.0	Pku1UxtmkLM	['Horror', 'Mystery', 'Thriller']
47	tt0082782	My Bloody Valentine	The Killer Revealed Scene	1981.0	7H3XPETdtmc	['Horror', 'Mystery', 'Thriller']
48	tt0070016	Charlotte's Web	Charlotte's Last Song Scene	1973.0	rPh94cOW-MI	['Animation', 'Family', 'Musical']
49	tt0073440	Nashville	It Don't Worry Me Scene	1975.0	OqyvMY1fcr4	['Comedy', 'Drama', 'Music']
50	tt0073440	Nashville	I'm Easy Scene	1975.0	dbX-ekoWGWE	['Comedy', 'Drama', 'Music']
51	tt0073440	Nashville	Highway Pileup Scene	1975.0	UVOJk8TFwpQ	['Comedy', 'Drama', 'Music']
52	tt0073440	Nashville	Barbara Jean's Last Song Scene	1975.0	ktCIr_DMGOI	['Comedy', 'Drama', 'Music']
53	tt0073440	Nashville	An American Junkyard Scene	1975.0	Jrn-OprEMLI	['Comedy', 'Drama', 'Music']
54	tt0073440	Nashville	Go Finish the Show Scene	1975.0	hT_G4j4nI-8	['Comedy', 'Drama', 'Music']
55	tt0073440	Nashville	Keep A-Goin' Scene	1975.0	oNpeuCWJgCc	['Comedy', 'Drama', 'Music']
56	tt0073440	Nashville	Who Was That, Babe? Scene	1975.0	eclUi6kVFcM	['Comedy', 'Drama', 'Music']
57	tt0073440	Nashville	Where You Goin', Tommy Brown? Scene	1975.0	fO8fKHbg4kw	['Comedy', 'Drama', 'Music']
58	tt0073440	Nashville	On-Stage Breakdown Scene	1975.0	mr1bVID2qao	['Comedy', 'Drama', 'Music']
59	tt0118688	Batman & Robin	Stay Cool, Bird Boy Scene	1997.0	xSJaxpJHf-s	['Action', 'Sci-Fi']
60	tt0118688	Batman & Robin	Catching Cold Scene	1997.0	erE6UlOi3E0	['Action', 'Sci-Fi']
61	tt0118688	Batman & Robin	Tell Me and I'll Kiss You Scene	1997.0	UIxwyNULzdk	['Action', 'Sci-Fi']
62	tt0118688	Batman & Robin	vs. Bane & Poison Ivy Scene	1997.0	MGJlq-gjQj8	['Action', 'Sci-Fi']
