	imdbid	title	clip_name	year	videoid	genre
0	tt0102316	Little Man Tate	The Math Magician Scene	1991.0	RjDv_swo0rY	['Drama']
1	tt0299977	Hero	A 's Death	2002.0	KeTBqolcrO8	['Action', 'Adventure']
2	tt0266489	Duplex	Riverdance	2003.0	rrejfviNpqE	['Comedy']
3	tt0279493	Undercover Brother	Race Chase Scene	2002.0	RMWfAkUhGCM	['Action', 'Comedy']
4	tt0186566	Space Cowboys	Landing the Shuttle	2000.0	rKHW39mShF4	['Action', 'Adventure', 'Thriller']
5	tt0094737	Big	Sleepover Scene	1988.0	gxeIvClLpKI	['Comedy', 'Drama']
6	tt0253754	Star Trek: Nemesis	A Shadow and an Echo	2002.0	NJJDRmtivWI	['Action', 'Adventure']
7	tt0383216	The Pink Panther	Keep Vigilant	2006.0	3pON6S9aDy4	['Adventure', 'Comedy', 'Crime']
8	tt0344604	Après vous...	Suicide Letter	2003.0	qO1-at2DUGU	['Comedy', 'Romance']
9	tt0119567	The Lost World: Jurassic Park	The T-Rex Takes San Diego	1997.0	p8fPj1-nKw0	['Action', 'Adventure']
10	tt0089457	Ladyhawke	Breaking the Curse	1985.0	cudAGo1nSKI	['Adventure', 'Comedy', 'Drama']
11	tt0172493	Girl, Interrupted	Ice Cream and Crazy People Scene	1999.0	S3Po0Tld8Po	['Drama']
12	tt0082416	The French Lieutenant's Woman	On the Sea Wall	1981.0	LQhfDQoYERY	['Drama', 'Romance']
13	tt0110907	Ready to Wear	These Boots Were Made for Walking	1994.0	JSetLbD948c	['Comedy', 'Drama']
14	tt0087262	Firestarter	Hot Feet	1984.0	hPmV9DBCrfQ	['Action', 'Horror']
15	tt0096734	The 'burbs	The Femur	1989.0	Xpga1vtS3tA	['Comedy', 'Thriller']
16	tt0163025	Jurassic Park 3	They Set a Trap	2001.0	TTLjOAdckzM	['Action', 'Adventure']
17	tt0058672	Topkapi	Sofa Bet Scene	1964.0	vITX2N0hpYE	['Adventure', 'Comedy', 'Crime']
18	tt0087065	Cloak & Dagger	Morris Gets Shot	1984.0	gkfAyFT8xGc	['Action', 'Adventure', 'Crime']
19	tt0942385	Tropic Thunder	Rick Peck, Hollywood Agent	2008.0	KA2ziAAXoqE	['Action', 'Comedy']
20	tt0085811	Krull	Safe Passage	1983.0	WGGlUlvJffY	['Action', 'Adventure']
21	tt0108149	Six Degrees of Separation	Paul Seduces Rick	1993.0	HXtYMxtMlhI	['Comedy', 'Drama']
22	tt0795421	Mamma Mia!	Voulez-Vous Scene	2008.0	alhVUKh36_Q	['Comedy', 'Romance']
23	tt0079640	North Dallas Forty	Pre-Game Final Words	1979.0	DCT__l4_m4g	['Comedy', 'Drama']
24	tt0060438	A Funny Thing Happened on the Way to the Forum	The Soothsayer Scene	1966.0	BCC8LOkisAI	['Comedy']
25	tt0054047	The Magnificent Seven	Killing Calvera	1960.0	L9-FR2MUfrU	['Action', 'Adventure']
26	tt0066181	On A Clear Day...	What Did I Have That I Don't Have	1970.0	_8s4_Nabo4E	['Comedy', 'Drama']
27	tt0800320	Clash of the Titans	Calibos Battle	2010.0	CJBoHk_Ld1g	['Action', 'Adventure']
28	tt0119654	Men in Black	Jeebs Loses His Head Scene	1997.0	1FkVXCCfg2A	['Action', 'Adventure', 'Comedy']
29	tt0787470	Balls Out	Paralyzed Penis Scene	-1.0	hkEXnpQ_c5I	['Comedy']
30	tt0245429	Spirit	Sound the Bugle Scene	2002.0	futultLrWms	['Adventure']
31	tt0468569	The Dark Knight	Two Face	2008.0	dJma8pVAvH4	['Action', 'Crime', 'Drama']
32	tt0139239	Go	Hit and Run	1999.0	sPZUh1YRnDg	['Comedy', 'Crime']
33	tt0120587	Antz	Chip and Miffy Scene	1998.0	Sbtm5uE3cCQ	['Adventure', 'Comedy']
34	tt0840361	The Town	How Come You Never Looked For Her?	2010.0	uRxCU1MW8B4	['Crime', 'Drama', 'Thriller']
35	tt0094894	Colors	T-Bone Represents Scene	1988.0	f4wmj-Nq9xA	['Action', 'Crime', 'Drama']
36	tt0048380	Mister Roberts	Making Scotch Scene	1955.0	PTQLBv8sgDI	['Comedy', 'Drama']
37	tt0160862	She's All That	Supersize My Balls	1999.0	BztqFxMXpTQ	['Comedy', 'Romance']
38	tt0108525	Wayne's World 2	The Same Dream	1993.0	_E62a_RCtX4	['Comedy']
39	tt0115986	The Crow: City of Angels	A Bad Batch	1996.0	0tN0uV9DebQ	['Action', 'Crime']
40	tt1321509	Death at a Funeral	The Coffin's Moving!	2010.0	o3aqMjrFf5k	['Comedy']
41	tt1428538	Hansel & Gretel	We'll Eat Youth Scene	2013.0	oY1tp2HG06w	['Action', 'Horror']
42	tt0106770	Dragon: The Bruce Lee Story	Showdown at the Ice Factory	1993.0	lGqBJx2xbqQ	['Action', 'Drama']
43	tt0096969	Born on the Fourth of July	A Painful Confession	1989.0	Xk5epHF844w	['Drama']
44	tt0316732	Taxi	Chase to the Airport Scene	2004.0	zal_hU83ruo	['Action', 'Comedy', 'Crime']
45	tt0089927	Rocky IV	Drago Goes Down	1985.0	bbVqciFRioA	['Drama']
46	tt1092026	Paul	Evolve This Scene	2011.0	dtgOzzBMl2o	['Adventure', 'Comedy']
47	tt0100232	Navy SEALS	Hawkins Gets His Car Back Scene	1990.0	iRIIcZuSiBo	['Action', 'Adventure', 'Thriller']
48	tt0455944	The Equalizer	Disrespect the Badge Scene	2014.0	TunbuB_bBb8	['Action', 'Crime', 'Thriller']
49	tt0061418	Bonnie and Clyde	I'm An Undertaker Scene	1967.0	IL-_pNnEuk8	['Action', 'Crime']
50	tt1229340	Anchorman 2: The Legend Continues	A Goddess Among Women Scene	-1.0	ZdkOLsRkjBU	['Comedy']
51	tt0070334	The Long Goodbye	Wade's Suicide	1973.0	847dUNGFwsM	['Comedy', 'Crime', 'Drama']
52	tt0892791	Shrek Forever After	Fiona, Warrior Princess Scene	2010.0	zkRkL94VQxY	['Adventure', 'Comedy']
53	tt0101889	The Fisher King	The Greatest Thing Since Spice Racks	1991.0	0p9yD4E2hQw	['Comedy', 'Drama']
54	tt1155056	I Love You, Man	A Girlfriend Guy	2009.0	sb8IU6c5obc	['Comedy', 'Romance']
55	tt0114608	Tales From the Crypt: Demon Knight	I'm Gonna Take Your Heart Scene	1995.0	S3MGT2fahAY	['Action', 'Horror']
56	tt0087332	Ghostbusters	We Came, We Saw, We Kicked Its Ass!	1984.0	VWb1z6ZwUoY	['Action', 'Comedy']
57	tt0238380	Equilibrium	Sense Offender	2002.0	IBjrQR_1ef8	['Action', 'Drama']
58	tt0168501	The Best Man	Merry Murch Scene	1999.0	cm1NBLlRxy0	['Comedy', 'Drama', 'Romance']
59	tt0102303	Life Stinks	Molly's Nervous Breakdown Scene	1991.0	-YiImyOVCj4	['Comedy']
60	tt0096769	After Midnight	Real Fear	1989.0	vSjkkQ6Bfc4	['Horror', 'Thriller']
61	tt0191133	The Fighting Temptations	Barbershop Quartet	2003.0	UEr47WrS7Ys	['Comedy', 'Drama']
62	tt1234721	RoboCop	I've Been Through A Lot Scene	2014.0	ti9jg0JOK2I	['Action', 'Crime']
63	tt0206634	Children of Men	It's a Girl	2006.0	XoWvE383hm4	['Drama', 'Thriller']
64	tt1588173	Warm Bodies	I Came to See You	2013.0	fZNPbMu2Ge0	['Comedy', 'Horror', 'Romance']
65	tt0407304	War of the Worlds	Fight on the Hill	2005.0	X7rfWPbEufo	['Adventure', 'Thriller']
66	tt0181536	Finding Forrester	The Key to Writing	2000.0	zLBEFvMkQCo	['Drama']
67	tt0300051	Jersey Girl	Caught in the Shower	2004.0	8n2vsSHAs0w	['Comedy', 'Drama', 'Romance']
68	tt0066181	On A Clear Day...	Come Back To Me	1970.0	uE_EjcgtiVI	['Comedy', 'Drama']
69	tt0892791	Shrek Forever After	A Deal with Rumpelstiltskin Scene	2010.0	1IaDQdo8x1I	['Adventure', 'Comedy']
70	tt0351283	Madagascar	I Like to Move It Move It Scene	2005.0	ApuFuuCJc3s	['Adventure', 'Comedy']
71	tt0219653	Dracula 2000	Never F*** With an Antiques Dealer	2000.0	CbMYk-lCKOw	['Action', 'Horror']
72	tt1230168	Same Kind of Different as Me	Compassion for the Homeless Scene	2017.0	Q4r4jGPegHs	['Drama']
73	tt0120912	Men in Black II	Someone I Need to Eat Scene	-1.0	ZdhqVdIsBSE	['Action', 'Adventure', 'Comedy']
74	tt0050468	Gunfight at the O.K. Corral	The Gunfight Begins	1957.0	aE4h5rX9u3U	['Drama']
75	tt0108174	So I Married an Axe Murderer	Woman, Whoaaa Man	1993.0	Qae03boj7lU	['Comedy', 'Romance']
76	tt0094910	The Couch Trip	Bus Therapy	1988.0	Lz3XcjwKGmQ	['Comedy']
77	tt0095497	The Last Temptation of Christ	The Crucifixion Scene	1988.0	LJvCFAHRAFI	['Drama']
78	tt0110907	Ready to Wear	Isabella Faints	1994.0	9KhqPTmsCJU	['Comedy', 'Drama']
79	tt0093300	Jaws: The Revenge	Killing the Beast	1987.0	wrkeOayCv6E	['Adventure', 'Horror', 'Thriller']
80	tt0086567	WarGames	David & Jennifer Kiss	1983.0	k9WhxTOA19s	['Thriller']
81	tt0097441	Glory	Rawlins Confronts Trip	1989.0	FFWLkCnT50s	['Drama']
82	tt0049833	The Ten Commandments	Moses is Arrested	1956.0	4cJs-f3NC6s	['Adventure', 'Drama']
83	tt0102517	Necessary Roughness	Andre's a Vegetarian	1991.0	QvfJieP0KVA	['Comedy']
84	tt0165854	The Limey	Over the Ledge	1999.0	sPgl1DyIn3U	['Crime', 'Drama']
85	tt0357277	Elektra	Ninja Assassin	2005.0	spbfax8dOTk	['Action', 'Adventure', 'Crime']
86	tt0327850	The Rundown	The Tooth Fairy	2003.0	qoxMZtAmAiI	['Action', 'Adventure', 'Comedy']
87	tt0090329	Witness	Rachel's Choice	1985.0	nS0fxM7sCHs	['Crime', 'Drama', 'Romance']
88	tt1588173	Warm Bodies	Saved by a Zombie	2013.0	ZD5vHtlpl3Q	['Comedy', 'Horror', 'Romance']
89	tt0238546	Queen of the Damned	So You Want to Be a Vampire	2002.0	kr5skPIftSY	['Drama', 'Horror']
90	tt1190080	2012	Rough Landing in Tibet Scene	2009.0	sIDHrcDf-N0	['Action', 'Adventure']
91	tt1259571	Twilight: New Moon	Motorcycle Lesson	2009.0	pPDz5TWc0Zw	['Adventure', 'Drama']
92	tt0180093	Requiem for a Dream	Smart, Loyal and Not a Junkie	2000.0	2BtZY3z72jY	['Drama']
93	tt0457400	Land of the Lost	Chaka	2009.0	0JXwzlRcYWk	['Action', 'Adventure', 'Comedy']
94	tt0098067	Parenthood	Kevin's Game Winning Catch	1989.0	5XW-Nxfx5Nw	['Comedy', 'Drama']
95	tt0082782	My Bloody Valentine	The Killer Revealed Scene	1981.0	7H3XPETdtmc	['Horror', 'Thriller']
96	tt0416449	300	Remember Us Scene	2006.0	nHByIEUb37Y	['Action', 'Drama']
97	tt0078346	Superman	Super Rescue Scene	1978.0	bfKu5Jc8TjA	['Action', 'Adventure', 'Drama']
98	tt1528854	Daddy's Home	Bedtime Stories Scene	2015.0	3OFda9AT-U4	['Comedy']
99	tt0119822	As Good as It Gets	We're All Gonna Die Soon	1997.0	8z7YDo44-xE	['Comedy', 'Drama', 'Romance']
100	tt0079574	Moonraker	Bond vs. Jaws	1979.0	2MdAw_f5pAU	['Action', 'Adventure']
101	tt1132626	Saw 5	A Common Goal of Survival	2008.0	IrptxQD55zY	['Horror', 'Thriller']
102	tt0089175	Fright Night	Dawn Arrives Scene	1985.0	PvoBUI7uz-w	['Horror', 'Thriller']
103	tt0104107	Diggstown	I'm Stopping the Fight Scene	1992.0	lMiVewLfZKI	['Drama']
104	tt0264464	Catch Me If You Can	Caught in France	2002.0	HYOjY7JJDBI	['Crime', 'Drama']
105	tt0055031	Judgment at Nuremberg	What A Country Stands For Scene	1961.0	TyS98_jQIA0	['Drama']
106	tt0100403	Predator 2	A Cut Above	1990.0	kyGcsRDBJLM	['Action', 'Horror']
107	tt0382625	The Da Vinci Code	Priory of Sion	2006.0	HhbADfa8rmY	['Action', 'Thriller']
108	tt0120184	Sphere	An Alien Named Jerry	1998.0	2GLDqvA6tKI	['Action']
109	tt0186975	Down to You	You're My Vice	2000.0	3XPzF1azIkI	['Comedy', 'Drama', 'Romance']
110	tt0408839	The Heartbreak Kid	Singing in the Car	2007.0	CqXatBg5LtE	['Comedy', 'Romance']
111	tt0119395	The Jackal	This is Russia	1997.0	7Vl03BBrGEY	['Action', 'Crime', 'Drama']
112	tt0234215	The Matrix Reloaded	The Burly Brawl	2003.0	GSprkzio_pE	['Action']
113	tt0092644	Beverly Hills Cop 2	Deep Deep Undercover	1987.0	Oq3cGgqbWG8	['Action', 'Comedy', 'Crime']
114	tt0408839	The Heartbreak Kid	Uncle Tito	2007.0	vrCmp9js4YI	['Comedy', 'Romance']
115	tt0103786	Beethoven	Framing  Scene	1992.0	YG-plVmM7O4	['Comedy', 'Drama']
116	tt0060429	Frankie and Johnny	Please Don't Stop Loving Me Scene	1966.0	4kIbIjoVakQ	['Comedy', 'Romance']
117	tt0055928	Dr. No	On the Way to a Funeral	1962.0	0u0SEECyGlM	['Action', 'Adventure', 'Thriller']
118	tt0310793	Bowling for Columbine	Militia Babes Scene	2002.0	b4vpGhO2LwA	['Crime', 'Drama']
119	tt1633356	Shark Night 3D	We're Here!	2011.0	f7q5ce9Jwgw	['Horror', 'Thriller']
120	tt0251736	House of 1000 Corpses	Murder Ride	2003.0	Yg95nS9poCw	['Horror']
121	tt0097733	Lethal Weapon 2	Leo Getz	1989.0	Zz1Lypwfwug	['Action', 'Crime', 'Thriller']
122	tt0109120	Andre	's a Celebrity	1994.0	T7eWdvyCHyI	['Adventure', 'Drama']
123	tt0384793	Accepted	Bartleby Mocks Hoyt	2006.0	-w9kof4SQp4	['Comedy']
124	tt0838283	Brothers	Kill or Be Killed	2009.0	KVy9rgFD5js	['Comedy']
125	tt0366548	Happy Feet	Sliding Down the Ice	2006.0	ymA7OFZ9lF0	['Adventure', 'Comedy']
126	tt0961722	Cabin Fever 2: Spring Fever	Government Takeover	2009.0	B3oSlrpSf8k	['Horror']
127	tt1038686	Legion	I Just Wanna Play With the Baby	2010.0	LFT504CjJFA	['Action', 'Adventure']
128	tt1201607	Harry Potter and the Deathly Hallows: Part 2	He Knows We're Hunting Horcruxes	2011.0	cacjl7UwuVU	['Adventure', 'Drama']
129	tt0076210	The Island of Dr. Moreau	Opening the Cages	1977.0	hh5iOitreQ8	['Adventure', 'Horror']
130	tt0096118	Sleepaway Camp 2: Unhappy Campers	Ally Gets Flushed Scene	1988.0	AaMkmiZ9bMM	['Comedy', 'Horror']
131	tt0119109	Fathers' Day	Parents Screw Up Sometimes Scene	1997.0	qHA5R-Q1Od8	['Comedy', 'Romance']
132	tt0443489	Dreamgirls	Deena's Gonna Sing Lead	2006.0	1mJ49BcUM3E	['Drama']
133	tt0781008	American Pie Presents Band Camp	Ruined Routine	2005.0	AFJ_QnfENd4	['Comedy']
134	tt1155076	The Karate Kid	Great Wall Training	2010.0	qiVy40O1_Lc	['Action', 'Drama']
135	tt0070895	Walking Tall	Road Ambush	1973.0	o-e8eejeHLA	['Action', 'Crime']
