	imdbid	title	clip_name	year	videoid	genre
0	tt0448115	Shazam!	New Superpowers Scene	2019.0	Ok63vpXNhNc	['Action', 'Adventure', 'Comedy']
1	tt0448115	Shazam!	Convenience Store Robbery Scene	2019.0	UAYL8R2ZPuI	['Action', 'Adventure', 'Comedy']
2	tt0069995	Don't Look Now	The Red Ghost in Fog Scene	1973.0	TfKw3gvxff0	['Drama', 'Horror', 'Thriller']
3	tt0069995	Don't Look Now	The Spectre of Venice Scene	1973.0	ySINkZRkHi0	['Drama', 'Horror', 'Thriller']
4	tt0069995	Don't Look Now	Seance of Death Scene	1973.0	LWz_6w0paEg	['Drama', 'Horror', 'Thriller']
5	tt0069995	Don't Look Now	The Church of Doom Scene	1973.0	n-2Lxsj7sf4	['Drama', 'Horror', 'Thriller']
6	tt0069995	Don't Look Now	Drowned in the Pond Scene	1973.0	JL_tj5M1o-c	['Drama', 'Horror', 'Thriller']
7	tt0069995	Don't Look Now	Fetch Him! Scene	1973.0	r0iSxOsPGl8	['Drama', 'Horror', 'Thriller']
8	tt0069995	Don't Look Now	The Blind Psychic Scene	1973.0	HFTqyXV9Vio	['Drama', 'Horror', 'Thriller']
9	tt0069995	Don't Look Now	Fishing a Body Scene	1973.0	CMMzjgpnLGc	['Drama', 'Horror', 'Thriller']
10	tt0069995	Don't Look Now	Murder Suspect Scene	1973.0	D2JzjzTWMxw	['Drama', 'Horror', 'Thriller']
11	tt0069995	Don't Look Now	Killer in Red Scene	1973.0	9zcAqShAXPo	['Drama', 'Horror', 'Thriller']
12	tt0070666	Serpico	Police Brutality Scene	1973.0	htWhh0DIFgk	['Biography', 'Crime', 'Drama']
13	tt0070666	Serpico	Bleeding to Death Scene	1973.0	9_n15K7rv1Y	['Biography', 'Crime', 'Drama']
14	tt0070666	Serpico	I Love You, Paco! Scene	1973.0	POLkdKBw3LM	['Biography', 'Crime', 'Drama']
15	tt0070666	Serpico	Get Dead Cards Scene	1973.0	_1tCmEtAbnw	['Biography', 'Crime', 'Drama']
16	tt0070666	Serpico	The Knapp Commission Scene	1973.0	4WXN2HQ7PQ0	['Biography', 'Crime', 'Drama']
17	tt0070666	Serpico	What Kind of Shakedown Is This? Scene	1973.0	n0PS-QVcoJo	['Biography', 'Crime', 'Drama']
18	tt0070666	Serpico	The Last Drug Raid Scene	1973.0	lYu_8OE3sCE	['Biography', 'Crime', 'Drama']
19	tt0070666	Serpico	Where's the Money?! Scene	1973.0	0frXMGxB0Ko	['Biography', 'Crime', 'Drama']
20	tt0070666	Serpico	A Marked Man Scene	1973.0	fluKR9XbEjQ	['Biography', 'Crime', 'Drama']
21	tt0070666	Serpico	You're Firing Without Looking? Scene	1973.0	mPDFATjS8l0	['Biography', 'Crime', 'Drama']
22	tt0408306	Munich	Grenade Assassination Scene	2005.0	MgL18hwJZ0A	['Action', 'Drama', 'History']
23	tt0408306	Munich	Are You Wael Zwaiter? Scene	2005.0	ZvvQ3CLveAA	['Action', 'Drama', 'History']
24	tt0408306	Munich	Calling in the Kill Scene	2005.0	PMdokZIn2_s	['Action', 'Drama', 'History']
25	tt0408306	Munich	Love and Terror Scene	2005.0	zuFtCz663GQ	['Action', 'Drama', 'History']
26	tt0408306	Munich	The Cross-Dressing Raid Scene	2005.0	CToeYdx6SsU	['Action', 'Drama', 'History']
